Nama_RS_BPJS,Kode_RS,Status_BPJS,Layanan_BPJS,Rumah_Sakit,Provinsi,Kab_Kota,Status_Sudah_BPJS
RSUD Soedono Kota Madiun,3577015,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Dr. Soedono Madiun,Jawa Timur,Kota Madiun,1
Global Farma,Klinik Utama,Sudah kerjasama BPJS,Kemo,,,,1
RSUD Ulin Banjarmasin,6371013,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Ulin Banjarmasin,Kalimantan Selatan,Kota Banjarmasin,1
RSUD Dr. Doris Sylvanus Palangka Raya,6271012,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Dr. Doris Sylvanus Palangka Raya,Kalimantan Tengah,Kota Palangka Raya,1
RSUD Aji Muhammad Parikesit,6403015,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Aji Muhammad Parikesit,Kalimantan Timur,Kutai Kartanegara,1
RSUD Abdul Wahab Sjahranie,6472015,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Abdul Wahab Sjahranie,Kalimantan Timur,Kota Samarinda,1
RSUD Dr. Kanujoso Djatiwibowo,6471014,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Dr. Kanujoso Djatiwibowo,Kalimantan Timur,Kota Balikpapan,1
RSUD Brigjed H. Hasan Basry Kandangan,6306011,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Brigjed H. Hasan Basry Kandangan,Kalimantan Selatan,Hulu Sungai Selatan,1
RSUD dr.H. Jusuf SK,6473016,Sudah kerjasama BPJS,Kemo,RS Umum Daerah dr.H. Jusuf SK,Kalimantan Utara,Kota Tarakan,1
RSUD Dr.Murjani Sampit,6202013,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Dr Murjani Sampit,Kalimantan Tengah,Kotawaringin Timur,1
RSUD Ratu Zalecha Banjar,6303015,Sudah kerjasama BPJS,Kemo,RS Umum Daerah Ratu Zalecha,Kalimantan Selatan,Banjar,1
RSUD Bahteramas Provinsi Sultra,7471011,Sudah kerjasama BPJS,Kemo,RS Bahteramas Provinsi Sultra,Sulawesi Tenggara,Kota Kendari,1
"RS Dr. Tadjuddin Chalid, MPH",7371314,Sudah kerjasama BPJS,Kemo,RS Umum Pusat Dr. Tadjuddin Chalid Makassar,Sulawesi Selatan,Kota Makassar,1
RS Ibnu Sina YW-UMI Makassar,7371340,Sudah kerjasama BPJS,Kemo,RS Ibnu Sina YW-UMI Makassar,Sulawesi Selatan,Kota Makassar,1
RS Tk. II Pelamonia,7371030,Sudah kerjasama BPJS,Kemo,RS Tk. II Pelamonia,Sulawesi Selatan,Kota Makassar,1
RS Stella Maris,7371063,Sudah kerjasama BPJS,Kemo,RS Stella Maris,Sulawesi Selatan,Kota Makassar,1
